"player","points","cells","social_info","unique_rounds","env_number","age","gender","soc_info_round","participantNr","gempresent","round","tot_points","gem","trial"
1,13,15,30,1,4,13,1,376,30009,1,1,760,0,1
1,14,15,30,1,4,13,1,376,30009,1,1,760,0,2
1,-1,15,30,1,4,13,1,376,30009,1,1,760,0,3
1,265,22,30,1,4,13,1,376,30009,1,1,760,1,4
1,31,32,30,1,4,13,1,376,30009,1,1,760,0,5
1,4,19,30,1,4,13,1,376,30009,1,1,760,0,6
1,17,32,28,1,4,13,1,376,30009,1,1,760,0,7
1,-17,36,19,1,4,13,1,376,30009,1,1,760,0,8
1,-8,30,19,1,4,13,1,376,30009,1,1,760,0,9
1,0,20,19,1,4,13,1,376,30009,1,1,760,0,10
1,-39,48,35,1,4,13,1,376,30009,1,1,760,0,11
1,-31,53,36,1,4,13,1,376,30009,1,1,760,0,12
1,50,4,36,1,4,13,1,376,30009,1,1,760,0,13
1,49,4,36,1,4,13,1,376,30009,1,1,760,0,14
1,57,4,36,1,4,13,1,376,30009,1,1,760,0,15
1,55,4,36,1,4,13,1,376,30009,1,1,760,0,16
1,-34,26,36,1,4,13,1,376,30009,1,1,760,0,17
1,-18,42,36,1,4,13,1,376,30009,1,1,760,0,18
1,50,64,36,1,4,13,1,376,30009,1,1,760,0,19
1,50,64,36,1,4,13,1,376,30009,1,1,760,0,20
1,50,64,36,1,4,13,1,376,30009,1,1,760,0,21
1,52,64,36,1,4,13,1,376,30009,1,1,760,0,22
1,51,64,36,1,4,13,1,376,30009,1,1,760,0,23
1,48,64,36,1,4,13,1,376,30009,1,1,760,0,24
1,52,64,36,1,4,13,1,376,30009,1,1,760,0,25
1,-60,18,16,2,9,13,1,1639,30009,1,2,543,0,1
1,17,30,41,2,9,13,1,1639,30009,1,2,543,0,2
1,3,41,5,2,9,13,1,1639,30009,1,2,543,0,3
1,13,46,9,2,9,13,1,1639,30009,1,2,543,0,4
1,11,46,9,2,9,13,1,1639,30009,1,2,543,0,5
1,-49,64,9,2,9,13,1,1639,30009,1,2,543,0,6
1,-57,40,9,2,9,13,1,1639,30009,1,2,543,0,7
1,36,52,9,2,9,13,1,1639,30009,1,2,543,0,8
1,37,52,9,2,9,13,1,1639,30009,1,2,543,0,9
1,37,52,16,2,9,13,1,1639,30009,1,2,543,0,10
1,36,52,16,2,9,13,1,1639,30009,1,2,543,0,11
1,36,52,16,2,9,13,1,1639,30009,1,2,543,0,12
1,22,14,16,2,9,13,1,1639,30009,1,2,543,0,13
1,7,14,16,2,9,13,1,1639,30009,1,2,543,0,14
1,51,28,16,2,9,13,1,1639,30009,1,2,543,0,15
1,59,28,45,2,9,13,1,1639,30009,1,2,543,0,16
1,57,28,20,2,9,13,1,1639,30009,1,2,543,0,17
1,59,28,1,2,9,13,1,1639,30009,1,2,543,0,18
1,49,28,7,2,9,13,1,1639,30009,1,2,543,0,19
1,51,28,16,2,9,13,1,1639,30009,1,2,543,0,20
1,-7,43,16,2,9,13,1,1639,30009,1,2,543,0,21
1,37,35,39,2,9,13,1,1639,30009,1,2,543,0,22
1,28,35,60,2,9,13,1,1639,30009,1,2,543,0,23
1,37,35,35,2,9,13,1,1639,30009,1,2,543,0,24
1,33,35,16,2,9,13,1,1639,30009,1,2,543,0,25
1,3,49,27,3,3,13,1,795,30009,1,3,615,0,1
1,-57,33,27,3,3,13,1,795,30009,1,3,615,0,2
1,-11,53,27,3,3,13,1,795,30009,1,3,615,0,3
1,-15,30,27,3,3,13,1,795,30009,1,3,615,0,4
1,35,20,27,3,3,13,1,795,30009,1,3,615,0,5
1,36,20,27,3,3,13,1,795,30009,1,3,615,0,6
1,36,20,27,3,3,13,1,795,30009,1,3,615,0,7
1,50,35,27,3,3,13,1,795,30009,1,3,615,0,8
1,51,35,27,3,3,13,1,795,30009,1,3,615,0,9
1,49,35,27,3,3,13,1,795,30009,1,3,615,0,10
1,51,35,22,3,3,13,1,795,30009,1,3,615,0,11
1,51,35,30,3,3,13,1,795,30009,1,3,615,0,12
1,49,35,46,3,3,13,1,795,30009,1,3,615,0,13
1,49,35,46,3,3,13,1,795,30009,1,3,615,0,14
1,51,35,22,3,3,13,1,795,30009,1,3,615,0,15
1,51,35,45,3,3,13,1,795,30009,1,3,615,0,16
1,50,35,45,3,3,13,1,795,30009,1,3,615,0,17
1,52,35,45,3,3,13,1,795,30009,1,3,615,0,18
1,49,35,45,3,3,13,1,795,30009,1,3,615,0,19
1,50,35,45,3,3,13,1,795,30009,1,3,615,0,20
1,-16,15,45,3,3,13,1,795,30009,1,3,615,0,21
1,-1,47,45,3,3,13,1,795,30009,1,3,615,0,22
1,-29,10,45,3,3,13,1,795,30009,1,3,615,0,23
1,-46,4,45,3,3,13,1,795,30009,1,3,615,0,24
1,27,51,45,3,3,13,1,795,30009,1,3,615,0,25
1,15,11,61,4,1,13,1,921,30009,0,4,412,0,1
1,-20,36,27,4,1,13,1,921,30009,0,4,412,0,2
1,12,22,31,4,1,13,1,921,30009,0,4,412,0,3
1,-21,26,38,4,1,13,1,921,30009,0,4,412,0,4
1,43,46,39,4,1,13,1,921,30009,0,4,412,0,5
1,31,46,47,4,1,13,1,921,30009,0,4,412,0,6
1,34,46,14,4,1,13,1,921,30009,0,4,412,0,7
1,30,46,11,4,1,13,1,921,30009,0,4,412,0,8
1,38,46,11,4,1,13,1,921,30009,0,4,412,0,9
1,27,7,11,4,1,13,1,921,30009,0,4,412,0,10
1,18,7,11,4,1,13,1,921,30009,0,4,412,0,11
1,-20,51,11,4,1,13,1,921,30009,0,4,412,0,12
1,41,42,11,4,1,13,1,921,30009,0,4,412,0,13
1,24,42,11,4,1,13,1,921,30009,0,4,412,0,14
1,-22,63,11,4,1,13,1,921,30009,0,4,412,0,15
1,-7,1,11,4,1,13,1,921,30009,0,4,412,0,16
1,48,2,11,4,1,13,1,921,30009,0,4,412,0,17
1,50,2,11,4,1,13,1,921,30009,0,4,412,0,18
1,48,2,11,4,1,13,1,921,30009,0,4,412,0,19
1,52,2,11,4,1,13,1,921,30009,0,4,412,0,20
1,50,2,11,4,1,13,1,921,30009,0,4,412,0,21
1,-34,25,11,4,1,13,1,921,30009,0,4,412,0,22
1,-26,18,11,4,1,13,1,921,30009,0,4,412,0,23
1,-52,17,11,4,1,13,1,921,30009,0,4,412,0,24
1,53,10,11,4,1,13,1,921,30009,0,4,412,0,25
1,1,18,11,5,6,13,1,1625,30009,1,5,203,0,1
1,-14,37,34,5,6,13,1,1625,30009,1,5,203,0,2
1,9,22,54,5,6,13,1,1625,30009,1,5,203,0,3
1,27,43,44,5,6,13,1,1625,30009,1,5,203,0,4
1,-18,52,22,5,6,13,1,1625,30009,1,5,203,0,5
1,28,47,20,5,6,13,1,1625,30009,1,5,203,0,6
1,-50,57,20,5,6,13,1,1625,30009,1,5,203,0,7
1,0,33,20,5,6,13,1,1625,30009,1,5,203,0,8
1,43,58,20,5,6,13,1,1625,30009,1,5,203,0,9
1,34,58,20,5,6,13,1,1625,30009,1,5,203,0,10
1,40,58,20,5,6,13,1,1625,30009,1,5,203,0,11
1,48,58,20,5,6,13,1,1625,30009,1,5,203,0,12
1,21,58,20,5,6,13,1,1625,30009,1,5,203,0,13
1,41,58,20,5,6,13,1,1625,30009,1,5,203,0,14
1,50,58,20,5,6,13,1,1625,30009,1,5,203,0,15
1,-5,62,20,5,6,13,1,1625,30009,1,5,203,0,16
1,-11,7,20,5,6,13,1,1625,30009,1,5,203,0,17
1,-44,4,20,5,6,13,1,1625,30009,1,5,203,0,18
1,-10,12,20,5,6,13,1,1625,30009,1,5,203,0,19
1,-62,5,20,5,6,13,1,1625,30009,1,5,203,0,20
1,40,13,20,5,6,13,1,1625,30009,1,5,203,0,21
1,35,13,20,5,6,13,1,1625,30009,1,5,203,0,22
1,28,13,20,5,6,13,1,1625,30009,1,5,203,0,23
1,-20,6,20,5,6,13,1,1625,30009,1,5,203,0,24
1,-8,14,20,5,6,13,1,1625,30009,1,5,203,0,25
1,36,41,63,6,8,13,1,1177,30009,1,6,689,0,1
1,13,41,63,6,8,13,1,1177,30009,1,6,689,0,2
1,20,39,22,6,8,13,1,1177,30009,1,6,689,0,3
1,31,39,22,6,8,13,1,1177,30009,1,6,689,0,4
1,70,15,44,6,8,13,1,1177,30009,1,6,689,0,5
1,61,15,35,6,8,13,1,1177,30009,1,6,689,0,6
1,48,15,58,6,8,13,1,1177,30009,1,6,689,0,7
1,56,15,54,6,8,13,1,1177,30009,1,6,689,0,8
1,31,15,54,6,8,13,1,1177,30009,1,6,689,0,9
1,-46,28,54,6,8,13,1,1177,30009,1,6,689,0,10
1,-37,29,54,6,8,13,1,1177,30009,1,6,689,0,11
1,-21,37,54,6,8,13,1,1177,30009,1,6,689,0,12
1,23,3,37,6,8,13,1,1177,30009,1,6,689,0,13
1,23,3,38,6,8,13,1,1177,30009,1,6,689,0,14
1,23,4,38,6,8,13,1,1177,30009,1,6,689,0,15
1,13,17,38,6,8,13,1,1177,30009,1,6,689,0,16
1,43,62,38,6,8,13,1,1177,30009,1,6,689,0,17
1,52,62,38,6,8,13,1,1177,30009,1,6,689,0,18
1,36,62,38,6,8,13,1,1177,30009,1,6,689,0,19
1,48,62,48,6,8,13,1,1177,30009,1,6,689,0,20
1,30,62,20,6,8,13,1,1177,30009,1,6,689,0,21
1,20,62,19,6,8,13,1,1177,30009,1,6,689,0,22
1,54,62,27,6,8,13,1,1177,30009,1,6,689,0,23
1,32,62,27,6,8,13,1,1177,30009,1,6,689,0,24
1,30,62,27,6,8,13,1,1177,30009,1,6,689,0,25
1,14,31,28,7,2,13,1,504,30009,1,7,1151,0,1
1,-8,13,36,7,2,13,1,504,30009,1,7,1151,0,2
1,51,35,29,7,2,13,1,504,30009,1,7,1151,0,3
1,48,35,37,7,2,13,1,504,30009,1,7,1151,0,4
1,49,35,11,7,2,13,1,504,30009,1,7,1151,0,5
1,49,35,51,7,2,13,1,504,30009,1,7,1151,0,6
1,49,35,51,7,2,13,1,504,30009,1,7,1151,0,7
1,48,35,51,7,2,13,1,504,30009,1,7,1151,0,8
1,51,35,51,7,2,13,1,504,30009,1,7,1151,0,9
1,48,35,51,7,2,13,1,504,30009,1,7,1151,0,10
1,50,35,51,7,2,13,1,504,30009,1,7,1151,0,11
1,50,35,51,7,2,13,1,504,30009,1,7,1151,0,12
1,52,35,51,7,2,13,1,504,30009,1,7,1151,0,13
1,50,35,51,7,2,13,1,504,30009,1,7,1151,0,14
1,51,35,51,7,2,13,1,504,30009,1,7,1151,0,15
1,50,35,51,7,2,13,1,504,30009,1,7,1151,0,16
1,51,35,51,7,2,13,1,504,30009,1,7,1151,0,17
1,49,35,51,7,2,13,1,504,30009,1,7,1151,0,18
1,49,35,51,7,2,13,1,504,30009,1,7,1151,0,19
1,49,35,51,7,2,13,1,504,30009,1,7,1151,0,20
1,52,35,51,7,2,13,1,504,30009,1,7,1151,0,21
1,50,35,51,7,2,13,1,504,30009,1,7,1151,0,22
1,48,35,51,7,2,13,1,504,30009,1,7,1151,0,23
1,49,35,51,7,2,13,1,504,30009,1,7,1151,0,24
1,52,35,51,7,2,13,1,504,30009,1,7,1151,0,25
1,37,31,30,8,2,13,1,838,30009,0,8,887,0,1
1,0,23,30,8,2,13,1,838,30009,0,8,887,0,2
1,36,31,30,8,2,13,1,838,30009,0,8,887,0,3
