playerNr,randomid,randomidNotPlayed,relevantRandomid,externalID,participationAmount,bonusAmount,totalEarnings,qR1_fail,qR2_fail,qR3_fail,newvar_fail,quizFail
1,1000100,2000109,1000100,30009,1,69,70,0,0,0,0,0
2,1000200,2000206,1000200,30005,1,95,96,0,0,0,0,0
3,1000307,2000307,1000307,30002,1,94,95,0,1,0,0,1
4,1000403,2000406,1000403,30019,1,0,1,0,0,0,0,0
5,1000506,2000503,1000506,30016,1,362,363,0,1,0,0,1
6,1000602,2000603,1000602,30015,1,11,12,0,0,0,1,1
7,1000707,2000701,1000707,30012,1,98,99,0,1,0,0,1
8,1000804,2000807,1000804,30013,1,16,17,0,0,0,0,0
9,1000907,2000904,1000907,30003,1,80,81,0,0,0,0,0
10,1001000,2001008,1001000,30014,1,641,642,0,1,0,0,1
11,1001107,2001107,1001107,30021,1,81,82,0,1,0,0,1
12,1001200,2001208,1001200,30004,1,0,1,0,0,0,0,0
13,1001307,2001301,1001307,30008,1,311,312,0,0,0,0,0
14,1001403,2001404,1001403,30017,1,0,1,0,0,0,0,0
15,1001507,2001503,1001507,30022,1,18,19,0,1,0,0,1
16,1001605,2001607,1001605,30020,1,284,285,0,0,0,0,0
17,1001707,2001701,1001707,30018,1,6,7,0,1,0,0,1
18,1001800,2001805,1001800,30006,1,54,55,0,1,0,0,1
19,1001907,2001906,1001907,30011,1,-22,-21,0,1,0,0,1
20,1002007,2002008,1002007,30001,1,5,6,0,0,0,0,0
21,1002106,2002109,1002106,30015,1,0,1,0,0,0,0,0
22,1002203,2002205,1002203,23543,1,0,1,0,0,0,0,0
23,NA,NA,NA,NA,0,0,0,0,0,0,0,0
24,1002400,2002405,1002400,NA,1,0,1,0,0,0,0,0
25,1002503,2002500,1002503,30115,1,107,108,0,1,0,0,1
26,1002601,2002601,1002601,30105,1,10,11,0,0,0,0,0
27,1002700,2002705,1002700,30116,1,85,86,0,0,0,1,1
28,1002809,2002809,1002809,30125,1,127,128,0,1,0,0,1
29,1002900,2002905,1002900,30106,1,113,114,0,1,0,0,1
30,1003008,2003005,1003008,30108,1,73,74,0,0,0,1,1
31,1003109,2003106,1003109,30127,1,175,176,0,1,0,1,1
32,1003205,2003206,1003205,30112,1,366,367,0,0,0,0,0
33,1003309,2003307,1003309,30110,1,419,420,0,0,0,0,0
34,1003401,2003405,1003401,30109,1,126,127,0,0,0,0,0
35,1003503,2003505,1003503,30117,1,-1,0,0,0,0,0,0
36,1003603,2003606,1003603,30114,1,123,124,0,0,0,0,0
37,1003709,2003709,1003709,30124,1,63,64,0,1,0,0,1
38,1003800,2003800,1003800,30122,1,37,38,0,0,0,0,0
39,1003908,2003909,1003908,30123,1,86,87,0,3,0,0,3
40,1004004,2004009,1004004,30128,1,91,92,0,0,0,0,0
41,1004103,2004108,1004103,30107,1,17,18,0,0,0,0,0
42,1004208,2004203,1004208,30103,1,58,59,0,0,0,1,1
43,1004309,2004301,1004309,30104,1,1,2,0,0,0,0,0
44,1004407,2004408,1004407,30126,1,107,108,0,0,0,0,0
45,1004509,2004508,1004509,30119,1,-10,-9,0,1,0,0,1
46,1004609,2004609,1004609,30118,1,0,1,0,1,0,0,1
47,1004708,2004708,1004708,30120,1,93,94,0,1,0,0,1
48,1004809,2004801,1004809,30111,1,93,94,0,0,0,0,0
49,1004908,2004905,1004908,30121,1,32,33,0,1,0,0,1
50,1005003,2005000,1005003,30113,1,99,100,0,0,0,0,0
51,1005108,2005107,1005108,30102,1,124,125,0,0,0,1,1
52,1005205,2005206,1005205,30209,1,57,58,0,0,0,0,0
53,1005307,2005308,1005307,30218,1,640,641,0,0,0,0,0
54,1005405,2005403,1005405,30222,1,49,50,0,1,0,0,1
55,1005507,2005504,1005507,30216,1,36,37,4,0,0,0,4
56,1005602,2005601,1005602,30215,1,125,126,0,0,0,0,0
57,1005709,2005703,1005709,30207,1,37,38,0,1,0,0,1
58,1005803,2005802,1005803,30213,1,-14,-13,0,1,0,0,1
59,1005903,2005905,1005903,30217,1,0,1,0,2,1,1,2
60,1006008,2006004,1006008,30227,1,-50,-49,0,4,0,4,4
61,1006109,2006103,1006109,30108,1,-32,-31,0,1,0,0,1
62,1006209,2006203,1006209,30212,1,0,1,0,6,2,0,6
