"playerNr","groupNr","subjectNr","period","orderEnvs1","orderEnvs2","orderEnvs3","counter1","counter2","counter3","orderRounds","thisRound","treatment","gemPresent","socialInfo","points","refreshTaskCount","clickedCells","totalPoints","thisEnv","consent","rnd_decI","participantNr","qR1","qR2","qR3","newvar","goal","strategy","general","instructions","time_welcome","time_ID","time_i1","time_i2","time_i3","time_i4","time_i5","time_i6","time_i7","time_i8","time_i9","time_i10","time_iend","time_quiz","time_play.(old)","time_play","time_break","time_Questionnaire","time_end","file_nr","externalID","age","gender"
1,0,0,1,NA,NA,NA,NA,NA,NA,"376,1639,795,921,1625,1177,504,838,332,254,408,335",376,0,1,"30,30,30,30,30,30,28,19,19,19,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36","13,14,-1,265,31,4,17,-17,-8,0,-39,-31,50,49,57,55,-34,-18,50,50,50,52,51,48,52",0,"15,15,15,22,32,19,32,36,30,20,48,53,4,4,4,4,26,42,64,64,64,64,64,64,64",760,4,0,6,30009,3,2,2,2,NA,NA,NA,NA,11,NA,33,24,10,20,22,10,19,14,29,16,17,18,NA,NA,NA,NA,NA,1,30009,13,1
1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1639,NA,1,"16,41,5,9,9,9,9,9,9,16,16,16,16,16,16,45,20,1,7,16,16,39,60,35,16","-60,17,3,13,11,-49,-57,36,37,37,36,36,22,7,51,59,57,59,49,51,-7,37,28,37,33",NA,"18,30,41,46,46,64,40,52,52,52,52,52,14,14,28,28,28,28,28,28,43,35,35,35,35",543,9,NA,NA,30009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30009,13,1
1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,795,NA,1,"27,27,27,27,27,27,27,27,27,27,22,30,46,46,22,45,45,45,45,45,45,45,45,45,45","3,-57,-11,-15,35,36,36,50,51,49,51,51,49,49,51,51,50,52,49,50,-16,-1,-29,-46,27",NA,"49,33,53,30,20,20,20,35,35,35,35,35,35,35,35,35,35,35,35,35,15,47,10,4,51",615,3,NA,NA,30009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30009,13,1
1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,921,NA,0,"61,27,31,38,39,47,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11","15,-20,12,-21,43,31,34,30,38,27,18,-20,41,24,-22,-7,48,50,48,52,50,-34,-26,-52,53",NA,"11,36,22,26,46,46,46,46,46,7,7,51,42,42,63,1,2,2,2,2,2,25,18,17,10",412,1,NA,NA,30009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30009,13,1
1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1625,NA,1,"11,34,54,44,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20","1,-14,9,27,-18,28,-50,0,43,34,40,48,21,41,50,-5,-11,-44,-10,-62,40,35,28,-20,-8",NA,"18,37,22,43,52,47,57,33,58,58,58,58,58,58,58,62,7,4,12,5,13,13,13,6,14",203,6,NA,NA,30009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30009,13,1
1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1177,NA,1,"63,63,22,22,44,35,58,54,54,54,54,54,37,38,38,38,38,38,38,48,20,19,27,27,27","36,13,20,31,70,61,48,56,31,-46,-37,-21,23,23,23,13,43,52,36,48,30,20,54,32,30",NA,"41,41,39,39,15,15,15,15,15,28,29,37,3,3,4,17,62,62,62,62,62,62,62,62,62",689,8,NA,NA,30009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30009,13,1
1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,504,NA,1,"28,36,29,37,11,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51","14,-8,51,48,49,49,49,48,51,48,50,50,52,50,51,50,51,49,49,49,52,50,48,49,52",NA,"31,13,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35",1151,2,NA,NA,30009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,30009,13,1
1,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,838,NA,0,"30,30,30,30,30,30,30,44,44,44,44,44,44,44,55,18,18,18,18,18,18,18,18,18,18","37,0,36,36,35,32,-15,-40,-35,48,51,52,51,49,48,50,49,50,49,51,52,50,51,50,50",NA,"31,23,31,44,44,18,12,34,62,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54",887,2,NA,NA,30009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30009,13,1
1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,332,NA,1,"28,14,10,10,10,10,10,10,53,30,43,26,26,12,63,63,63,63,63,63,63,63,63,63,63","-16,-8,-58,-3,32,71,42,35,47,44,24,24,10,8,-44,-20,-8,20,-34,-3,48,50,50,50,51",NA,"18,44,31,22,39,39,39,39,56,56,56,59,6,34,1,8,7,28,62,57,64,64,64,64,64",412,5,NA,NA,30009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30009,13,1
1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,254,NA,0,"31,29,44,44,44,44,47,47,6,19,19,19,19,44,44,44,44,44,44,44,44,44,44,44,44","5,40,29,44,45,48,47,41,50,44,47,58,49,45,43,43,45,55,52,48,45,53,46,51,50",NA,"17,13,13,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35",1123,3,NA,NA,30009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30009,13,1
1,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,408,NA,0,"24,45,8,15,22,29,1,10,57,33,25,13,6,48,55,6,6,6,6,6,6,6,6,6,6","40,47,38,34,-14,7,13,-23,-7,16,19,-36,-12,-50,-9,53,50,58,57,47,48,43,57,43,62",NA,"15,15,15,15,40,45,28,5,26,50,61,56,38,20,3,19,19,19,19,19,19,19,19,19,19",581,5,NA,NA,30009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30009,13,1
