playerNr,groupNr,subjectNr,groupNrStart,currentGroupSize,period,onPage,connected,tStart,lastActionTime,ipaddress,ipaddress_part,location,waitMore,lobbyReady,enterLobby,role,wait_342777ready,wait_345544ready,wait_345546ready,wait_345545ready,wait_345547ready,wait_343041ready,wait_345540ready,wait_345541ready,wait_345542ready,wait_345543ready,wait_345549ready,wait_342776ready,wait_342778ready,wait_345548ready,wait_lastInPeriod,periodReady,leftExperiment,experimentTerminated,groupAborted
1,0,0,0,0,1,i1,0,1654165694,1654166365,008a75b6c74dd06a5ec7419b16523b4420506747,145.109.11,52.3748#4.8513,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2,0,0,0,0,1,welkom,0,1654165643,1654165646,dcef384ded45b8ec4beb96e2d1a1d30a21763032,178.228.17,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
3,0,0,0,0,1,i8,0,1654165901,1654165904,dcef384ded45b8ec4beb96e2d1a1d30a40454666,178.228.17,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
4,0,0,0,0,12,end,0,1654166780,1654166781,dcef384ded45b8ec4beb96e2d1a1d30a98171737,178.228.17,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
5,0,0,0,0,1,i1,0,1654166622,1654166954,008a75b6c74dd06a5ec7419b16523b4490170914,145.109.11,52.3748#4.8513,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
6,0,0,0,0,1,welkom,0,1654166794,1654168655,dcef384ded45b8ec4beb96e2d1a1d30a14844613,178.228.17,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
7,0,0,0,0,1,welkom,0,1654166825,1654173615,dcef384ded45b8ec4beb96e2d1a1d30a32152389,178.228.17,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
8,0,0,0,0,1,i1,0,1654168123,1654168162,dcef384ded45b8ec4beb96e2d1a1d30a75733781,178.228.17,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
9,0,0,0,0,12,end,0,1654169004,1654169005,dcef384ded45b8ec4beb96e2d1a1d30a84649023,178.228.17,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
10,0,0,0,0,3,play,0,1654168563,1654168675,dcef384ded45b8ec4beb96e2d1a1d30a18433402,178.228.17,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
11,0,0,0,0,1,i1,0,1654168144,1654168189,dcef384ded45b8ec4beb96e2d1a1d30a45519423,178.228.17,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
12,0,0,0,0,12,end,0,1654168913,1654168914,dcef384ded45b8ec4beb96e2d1a1d30a49873319,178.228.17,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
13,0,0,0,0,12,end,0,1654169110,1654169120,dcef384ded45b8ec4beb96e2d1a1d30a47339543,178.228.17,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
14,0,0,0,0,10,play,0,1654170339,1654173110,aa5c62b151250ef5a1010bfdb35ab09640493866,178.228.16,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
15,0,0,0,0,12,end,0,1654169869,1654169869,aa5c62b151250ef5a1010bfdb35ab09630202688,178.228.16,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
16,0,0,0,0,1,welkom,0,1654168573,1654173991,008a75b6c74dd06a5ec7419b16523b4483717932,145.109.11,52.3748#4.8513,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
17,0,0,0,0,5,play,0,1654169202,1654169482,aa5c62b151250ef5a1010bfdb35ab09692303585,178.228.16,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
18,0,0,0,0,12,end,0,1654170746,1654170747,aa5c62b151250ef5a1010bfdb35ab09639928759,178.228.16,52.3824#4.8995,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
19,0,0,0,0,0,NA,NA,0,0,008a75b6c74dd06a5ec7419b16523b4412811755,145.109.11,52.3748#4.8513,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
