"playerNr","groupNr","subjectNr","period","orderEnvs","orderTreatment","treatment","points","clickedCells","totalPoints","thisEnv","time_welkom","time_i1","time_i2","time_i3","time_i4","time_i5","time_i6","time_i7","time_i8","time_i9","time_quiz","time_play","time_break","time_end"
4,0,0,1,"3,4,2,1,2,5,4,1,6,5,6,3","1,0,0,1,1,0,0,1,0,0,1,1",1,"234,-69,49,67,-12,14,-23,-22,-21,58,-27,15,18,75,3,47,-16,-30,4,0,-61,34,-40,-28,52","45,38,31,22,21,20,13,13,13,22,21,46,47,39,48,40,37,36,28,29,27,19,29,30,23",321,3,3,3,1,1,1,1,1,2,2,1,1,NA,NA,NA
4,NA,NA,2,NA,NA,0,"37,-13,48,-6,40,-19,32,-41,39,-36,-53,-21,8,3,-52,30,-51,-1,63,-17,23,37,20,-13,-46","29,44,29,35,13,19,13,27,13,28,22,37,31,45,39,53,39,44,30,35,21,34,21,61,55",11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,3,NA,NA,0,"-31,35,-45,-26,36,5,17,38,2,-15,67,-43,-50,-21,1,4,35,-34,43,12,-40,58,35,34,-11","34,43,52,52,43,27,27,45,29,20,19,36,40,39,64,48,47,54,47,16,14,21,30,30,31",106,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,4,NA,NA,1,"-1,-14,0,-10,6,36,-18,261,50,-41,-23,7,259,259,260,260,259,259,259,260,261,261,259,260,262","29,29,29,29,21,4,20,44,53,47,48,39,44,44,44,44,44,44,44,44,44,44,44,44,44",3631,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,5,NA,NA,1,"-44,-20,-52,-43,-33,59,29,-21,22,50,50,30,20,6,21,-2,21,9,21,35,28,37,31,7,25","44,27,19,52,31,47,32,46,32,38,23,29,15,21,15,22,15,29,15,24,54,54,54,62,53",286,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,6,NA,NA,0,"49,66,67,69,63,45,67,59,57,34,50,58,25,26,49,46,55,45,44,33,46,41,30,35,48","31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,21,36",1207,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,7,NA,NA,0,"-42,-36,-42,25,20,36,42,-42,-46,36,52,-7,-52,43,-52,40,32,-49,-41,-50,-45,21,-6,6,-9","36,28,36,45,45,20,30,43,23,13,14,62,43,47,43,47,42,39,26,39,26,56,51,40,60",-166,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
4,NA,NA,8,NA,NA,1,"-33,50,40,42,31,-36,21,-44,-17,65,7,-3,21,12,14,16,26,-22,-37,-32,10,60,5,31,51","31,37,16,37,16,19,21,19,22,36,15,28,21,18,27,38,54,60,55,47,51,45,40,32,32",278,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,9,NA,NA,0,"-34,10,-43,54,43,36,-35,6,6,-41,12,-54,19,1,28,-2,38,-36,-45,-52,-20,26,12,-37,-38","31,23,35,16,34,22,35,30,36,47,37,55,37,40,28,40,28,19,19,19,52,60,53,54,54",-146,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,10,NA,NA,0,"-38,-2,58,-43,45,46,28,-48,20,27,37,37,21,37,36,-21,15,-45,-36,-57,-36,-12,-62,5,-26","33,30,36,23,36,14,14,19,22,27,21,28,22,28,28,39,43,45,51,47,51,46,45,38,45",-14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,11,NA,NA,1,"-27,-7,-8,20,52,-19,-8,-3,9,258,2,254,-2,270,255,257,244,253,258,242,245,258,262,247,257","36,36,36,26,28,29,29,21,21,20,19,20,19,20,20,20,20,20,20,20,20,20,20,20,20",3569,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,12,NA,NA,1,"-49,-65,8,-31,-49,-29,35,6,38,2,-49,35,36,37,37,37,-58,-18,-27,36,49,50,27,9,-34","38,38,28,38,27,37,19,28,19,28,18,19,19,19,19,19,11,11,12,19,34,34,35,43,44",33,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
9,0,0,1,"6,2,1,6,3,5,4,2,4,1,3,5","0,1,0,0,1,0,1,0,1,0,1,1",0,"-48,-55,-23,-72,2,-44,-7,2,38,43,-37,-41,43,51,43,57,-16,-3,36,44,-39,3,-16,2,-52","19,19,29,20,23,47,38,9,10,42,50,50,42,42,42,42,43,52,13,13,6,11,11,11,54",-89,6,1281,157,65,49,52,16,1,36,39,5,4,NA,NA,NA
9,NA,NA,2,NA,NA,1,"41,-22,33,22,25,29,23,54,45,42,-39,263,-54,-15,-31,-58,-72,21,-21,-2,20,-44,10,11,1","23,14,20,20,20,20,29,47,47,47,55,63,18,27,11,52,45,15,22,21,32,31,35,35,35",282,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,3,NA,NA,0,"-37,-44,8,-6,37,-51,43,-59,29,38,32,-23,-26,48,-11,48,52,-33,15,47,20,11,32,40,-34","26,18,44,52,15,4,11,20,55,45,41,43,28,1,32,1,1,59,22,22,6,6,6,37,36",176,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,4,NA,NA,0,"7,-39,17,-31,5,13,31,-2,31,25,-55,48,-5,-70,53,47,-31,-20,-51,1,1,5,-24,-12,-46","36,26,1,56,30,18,10,14,28,10,20,59,58,50,42,42,35,27,19,23,23,23,12,46,54",-102,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,5,NA,NA,1,"46,55,46,57,60,44,60,-37,-14,-21,-44,-44,-20,266,267,241,286,278,240,250,268,280,251,279,289","55,55,55,55,55,55,55,44,35,9,12,38,29,57,57,57,57,57,57,57,57,57,57,57,57",3383,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,6,NA,NA,0,"1,36,-16,-48,31,56,47,29,27,60,74,57,36,-50,32,45,16,-67,-36,-20,42,50,42,40,53","24,10,1,61,31,31,31,31,31,31,31,31,27,19,26,26,42,34,51,58,36,36,36,36,36",537,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,7,NA,NA,1,"-60,-8,-55,-34,242,253,253,235,237,251,246,247,251,251,253,250,235,253,254,245,249,245,252,237,249","16,26,44,27,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10",5031,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA
9,NA,NA,8,NA,NA,0,"-13,-41,3,1,34,30,36,20,15,25,7,41,54,73,-6,-39,-3,-6,-7,23,22,22,23,20,20","63,42,18,10,30,38,38,38,38,37,37,19,19,19,59,52,29,22,12,3,3,3,3,3,3",354,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,9,NA,NA,1,"-21,36,4,-23,264,256,258,245,270,251,267,259,246,268,257,265,257,248,246,269,250,262,270,246,243","34,22,45,28,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21",5393,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,10,NA,NA,0,"5,-36,33,-34,-50,15,4,42,5,11,16,11,31,43,33,21,41,-2,26,-43,5,2,23,7,-41","61,26,9,24,40,55,55,55,55,55,55,55,55,55,55,55,55,55,55,59,42,42,44,44,36",168,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,11,NA,NA,1,"50,-49,51,50,51,50,23,20,8,-49,9,49,56,58,52,8,8,6,42,37,42,36,-38,36,35","4,8,4,4,4,4,63,63,43,18,43,40,40,40,40,60,60,60,1,1,49,49,32,19,19",641,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,12,NA,NA,1,"28,37,45,-3,20,23,29,14,27,49,48,-50,49,72,39,45,62,-22,56,45,56,13,-15,-2,37","29,28,28,19,27,27,45,45,44,52,52,59,38,38,38,38,38,14,10,10,10,50,34,56,22",702,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
12,0,0,1,"3,4,6,6,1,2,2,3,5,4,5,1","0,0,0,1,1,1,1,1,0,0,0,1",0,"-6,-9,-8,-45,-53,-13,-23,29,31,13,25,21,18,16,25,20,-42,-59,-43,-57,-45,-50,-53,-44,-54","21,21,21,22,22,31,43,45,45,45,45,45,45,45,45,46,22,22,22,22,22,22,22,22,22",-406,3,1178,19,96,15,73,10,6,31,6,4,5,NA,NA,NA
12,NA,NA,2,NA,NA,0,"48,-37,20,33,9,31,-32,-9,6,7,6,7,61,-23,-22,51,12,13,12,21,-52,-51,-51,65,-44","10,55,50,21,52,8,26,62,52,52,52,52,32,37,55,14,50,50,50,50,39,39,39,41,46",81,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,3,NA,NA,0,"1,6,20,-54,-49,56,-60,0,63,-41,-36,-37,6,6,9,-13,20,21,1,46,-5,-48,13,-48,-33","8,36,21,55,50,10,29,64,59,55,50,29,36,36,36,29,21,21,40,16,25,26,5,4,26",-156,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,4,NA,NA,1,"27,-31,52,252,-16,-13,-25,37,-21,-21,-23,-21,-20,11,18,34,-25,-8,30,-41,51,-49,-45,-49,-49","15,55,35,20,60,60,55,49,9,9,9,9,9,39,30,22,14,23,44,3,1,3,3,3,3",55,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,5,NA,NA,1,"48,255,-6,-54,42,29,24,-10,-2,-35,2,6,-16,-41,7,32,48,-27,42,28,-48,-36,-54,-70,-64","53,23,34,35,36,37,38,39,40,33,22,21,20,19,18,17,9,52,45,54,35,19,52,52,52",100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,6,NA,NA,1,"12,7,-50,21,-12,-18,-37,-50,16,-1,5,68,31,-38,-8,-69,-25,258,-40,-49,-46,27,45,40,54","20,50,26,15,55,46,44,19,21,22,14,23,1,8,12,61,42,39,61,19,26,23,23,23,23",141,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,7,NA,NA,1,"-59,3,58,41,37,64,35,64,57,43,53,63,53,57,37,65,36,57,41,40,37,37,59,60,49","18,20,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,59,51,51,51",1087,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
12,NA,NA,8,NA,NA,1,"29,-53,2,-23,-31,49,52,51,49,51,50,50,48,50,50,51,50,50,51,51,49,50,49,52,48","15,11,53,29,36,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34",925,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,9,NA,NA,0,"22,-39,-26,48,-12,28,-57,30,61,29,28,44,42,51,33,30,30,14,13,17,53,22,33,28,13","22,29,39,7,4,43,34,26,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7",535,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,10,NA,NA,0,"-60,41,28,36,-67,-34,17,20,-7,-10,49,52,50,50,52,48,52,51,50,51,48,48,52,49,50","43,54,53,29,22,26,50,58,62,40,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",716,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,11,NA,NA,0,"-41,-41,21,-43,-27,-34,-53,-19,1,-7,0,-40,47,-49,61,59,36,47,53,51,53,53,43,61,61","23,23,22,13,29,51,34,8,48,40,63,45,18,19,18,18,18,18,18,18,18,18,18,18,18",293,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
