playerNr,groupNr,subjectNr,groupNrStart,currentGroupSize,period,onPage,connected,tStart,lastActionTime,ipaddress,ipaddress_part,location,waitMore,lobbyReady,enterLobby,role,wait_379596ready,wait_376393ready,wait_376483ready,wait_376394ready,wait_376395ready,wait_376396ready,wait_376397ready,wait_376398ready,wait_376399ready,wait_376400ready,wait_376401ready,wait_376455ready,wait_376468ready,wait_376402ready,wait_379597ready,wait_376540ready,wait_379440ready,wait_376405ready,wait_379831ready,wait_376406ready,wait_376482ready,wait_lastInPeriod,periodReady,leftExperiment,experimentTerminated,groupAborted
1,0,0,0,0,1,play,0,1692270777,1692271440,78ad7a25655f191e4675c3fbce51255b,80.131.182,52.0075#8.5536,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2,0,0,0,0,12,end,0,1692278936,1692278940,606a8bf24fd461850abd7ccc42bf57b6,24.210.27.,39.9648#-83.126,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
3,0,0,0,0,2,play,0,1692278370,1692278392,d1a3964f40cec8de8b71f2522bf3aa60,68.84.12.1,39.2957#-76.6289,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
4,0,0,0,0,12,end,NA,1692280421,1692280463,82c72dffd1fb51c01b10f31c462309a6,172.59.196,37.751#-97.822,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
5,0,0,0,0,12,end,NA,1692281918,1692281944,24c9d27356c3ad506d4596180173e4a6,47.204.143,27.3269#-82.5433,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
6,0,0,0,0,12,end,NA,1692280303,1692280316,a9b95b4a4b9d30affd1a64cf79d36b6c,12.7.217.1,42.0128#-88.0967,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
7,0,0,0,0,12,end,NA,1692280469,1692280500,e4e3f95beb4b3bd76b0ce31d57857567,96.58.106.,28.0406#-82.3951,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
8,0,0,0,0,12,end,NA,1692280424,1692280436,b441d138ffc7fb304d3a03bf6a9a1e26,24.10.66.3,38.687#-121.3477,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
9,0,0,0,0,12,end,NA,1692280809,1692280820,029d7e556d435d03c9bfd9cbc9819f57,174.65.70.,33.1097#-117.067,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
10,0,0,0,0,12,end,NA,1692280702,1692280710,2fcb89cf4d5f9435e6bd90a0d2f30b62,142.196.24,28.6529#-81.2106,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
11,0,0,0,0,12,end,NA,1692283322,1692283329,3187b519359f0f058c63dbf1bb46cd66,76.157.222,41.9898#-87.7623,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
12,0,0,0,0,12,end,NA,1692281290,1692281303,267a275f6219fa0ff9433f3d8c72bb30,99.107.193,43.0078#-83.806,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
13,0,0,0,0,1,i2,NA,1692280250,1692280277,3b2055c2c1a6da6e2f53e8d2d4e46239,99.1.169.2,33.0242#-85.072,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
14,0,0,0,0,12,end,NA,1692281093,1692281108,5e89682632081a1829b988a7bc27c4ef,24.127.80.,43.0762#-85.567,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
15,0,0,0,0,1,check,NA,1692280286,0,a28105cb0a5c71310bf3ab8c5f0d5da9,172.59.113,35.5999#-97.6243,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
16,0,0,0,0,12,end,NA,1692281298,1692281302,050a8c7a6a76276e5d9881443033fc74,160.72.43.,39.0013#-76.888,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
17,0,0,0,0,12,end,NA,1692281216,1692281233,e9d925a2b91812ec09d8eeb188642979,45.51.119.,34.1452#-118.4581,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
