playerNr,groupNr,subjectNr,period,check,prolificID,orderEnvs1,orderEnvs2,orderEnvs3,counter1,counter2,counter3,orderRounds,thisRound,treatment,gemPresent,socialInfo,points,refreshTaskCount,clickedCells,totalPoints,thisEnv,consent,rnd_decI,counterEnv1ng,qR1,qR2,qR3,newvar,strategy,general,age,gender,time_check,time_welcome,time_consent,time_i1,time_i2,time_i3,time_i4,time_i5,time_i6,time_i7,time_i8,time_i9,time_i10,time_iend,time_quiz,time_play.(old),time_play,time_break,time_Questionnaire,time_end,time_376482
1,0,0,1,esuoh,0,NA,NA,NA,NA,NA,NA,"1434,1244,868,800,504,1912,1899,1639,343,2195,905,254",1434,0,1,"17,59,39,28,22,6,2,34,41,55,55,55,55,55,55,55,52,52,52,52,52,52,52,52,52",0,0,0,37,5,0,4,0,3,2,2,2,NA,NA,NA,NA,10,4,4,2,2,1,2,1,1,2,2,2,1,5,9,NA,NA,NA,NA,NA,NA
2,0,0,1,esuoh,0,NA,NA,NA,NA,NA,NA,"905,376,1912,408,838,332,795,254,1650,921,468,1244",905,0,1,"37,37,34,34,34,34,34,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20","-51,15,-48,-36,-15,13,10,9,53,51,50,-8,8,34,30,-51,45,-27,11,54,-42,-26,34,41,36",1,"19,57,45,50,22,39,57,57,25,25,25,35,12,14,8,16,24,32,40,48,56,64,48,25,24",190,6,0,7,0,3,2,2,2,NA,NA,NA,NA,11,4,11,25,17,5,12,13,8,11,11,16,5,68,19,NA,NA,NA,NA,NA,NA
2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,NA,1,"30,30,30,30,30,30,28,19,19,19,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36","238,30,245,251,243,28,235,252,236,237,250,253,236,241,235,247,234,252,252,243,237,240,239,248,252",NA,"11,13,11,11,11,31,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11",5654,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,NA,1,"45,54,46,47,48,55,39,38,30,37,53,61,52,60,60,60,60,60,60,60,60,60,60,60,60","-44,-40,9,31,22,6,-51,-30,-14,-70,44,34,18,-18,32,-36,42,8,39,43,22,243,250,247,255",NA,"10,22,53,50,47,28,36,29,37,43,50,50,33,19,8,7,6,6,50,50,63,60,60,60,60",1042,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,NA,0,"24,45,8,15,22,29,1,10,57,33,25,13,6,48,55,6,6,6,6,6,6,6,6,6,6","45,36,36,32,23,-6,-43,-25,33,-48,-54,-9,-35,26,-1,-38,45,55,44,51,48,49,53,42,42",NA,"15,22,29,36,43,50,35,2,11,24,46,26,52,61,49,56,7,7,7,7,7,7,7,7,7",401,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,838,NA,0,"30,30,30,30,30,30,30,44,44,44,44,44,44,44,55,18,18,18,18,18,18,18,18,18,18","-36,47,-49,38,-8,-8,43,-13,15,51,51,-37,-29,5,-45,3,-51,23,5,49,50,49,48,51,52",NA,"8,7,6,31,5,13,20,27,36,45,54,62,53,50,34,19,15,4,3,45,54,54,54,45,45",304,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,NA,1,"28,14,10,10,10,10,10,10,53,30,43,26,26,12,63,63,63,63,63,63,63,63,63,63,63","-42,30,-20,-32,20,-51,-27,-19,19,-15,-2,24,59,61,44,43,48,51,50,59,60,58,46,50,48",NA,"16,9,18,25,34,41,50,57,59,52,61,54,27,27,27,27,64,64,64,27,27,27,27,64,64",562,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,NA,1,"27,27,27,27,27,27,27,27,27,27,22,30,46,46,22,45,45,45,45,45,45,45,45,45,45","34,35,-47,39,15,48,-3,-52,-44,70,55,38,29,50,2,72,37,240,241,245,237,242,248,250,246",NA,"8,16,28,24,32,40,48,39,31,40,41,40,50,35,47,23,23,46,46,46,46,46,46,46,46",2327,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,0,"31,29,44,44,44,44,47,47,6,19,19,19,19,44,44,44,44,44,44,44,44,44,44,44,44","-1,-32,6,-16,21,-4,-32,26,-28,-50,-1,27,44,-22,20,-9,-21,21,41,55,71,28,49,26,53",NA,"8,16,24,32,45,1,9,17,25,33,41,20,29,38,36,51,61,63,29,29,29,29,45,45,29",272,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1650,NA,1,"22,35,37,52,19,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34","-22,20,67,-33,246,271,252,256,260,262,262,247,259,51,248,242,243,243,265,246,249,259,242,266,256",NA,"8,16,24,32,40,40,40,40,40,40,40,40,40,35,40,40,40,40,40,40,40,40,40,40,40",5157,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
