playerNr,randomid,randomidNotPlayed,relevantRandomid,externalID,participationAmount,bonusAmount,totalEarnings,qR1_fail,qR2_fail,qR3_fail,newvar_fail,quizFail
1,1000108,2000108,1000108,NA,1,0,1,0,0,0,0,0
2,1000208,2000208,1000208,5ec20598203e9e2e8a2855e0,1,2.33,3.33,0,0,0,1,1
3,1000305,2000302,1000305,5e9f01c2517b95026e74c12d,1,0,1,0,2,1,0,2
4,1000407,2000409,1000407,6429a8ce0c89d7ec42d57f7f,1,0.35,1.35,0,0,0,1,1
5,1000508,2000508,1000508,640266a614e4080b6cf0deac,1,0.5,1.5,0,0,0,0,0
6,1000606,2000608,1000606,62c30d738badf86bc0875490,1,0,1,0,0,0,0,0
7,1000707,2000709,1000707,63d81f3f9fb108f7012ed455,1,3.21,4.21,0,0,1,0,1
8,1000800,2000801,1000800,6428a9d34890ddbe5dd57fb0,1,0,1,0,3,5,3,7
9,1000909,2000903,1000909,64c321a6f229b218741bcbcc,1,0.33,1.33,0,0,0,0,0
10,1001001,2001009,1001001,5974561734b844000168d1e0,1,0,1,0,0,0,0,0
11,1001102,2001103,1001102,6491d720871d9f5e16eafb93,1,0.04,1.04,0,0,0,0,0
12,1001202,2001208,1001202,5f9b7861ba641d39dfde5fa3,1,0.3,1.3,0,0,0,0,0
13,1001309,2001301,1001309,62a399a343789214684db674,1,0,1,0,0,0,0,0
14,1001408,2001403,1001408,64d529c4d1b5c8da54b617df,1,0.11,1.11,0,0,0,0,0
15,1001502,2001509,1001502,646bb53fd47acd7f1ac76033,1,0,1,0,0,0,0,0
16,1001602,2001604,1001602,61112e5f99facb9056c5e6ba,1,0.05,1.05,0,0,0,0,0
17,1001706,2001708,1001706,57587b29713d8400061730e4,1,0.96,1.96,0,1,0,0,1
18,1001800,2001803,1001800,5e172ad9c2642a0345b911b7,1,0.65,1.65,0,0,0,0,0
19,1001900,2001905,1001900,5a96dac56475f900019fcfb7,1,0.81,1.81,0,0,0,0,0
20,1002001,2002009,1002001,5b26ed8a8ecf3f0001619040,1,0.31,1.31,0,0,0,0,0
21,1002105,2002101,1002105,57a2b3e1dcff7d0001c7d0dc,1,0.77,1.77,0,0,0,0,0
22,1002200,2002201,1002200,64d64bc7e6c59b1d91dee430,1,0.11,1.11,0,1,0,1,1
23,1002305,2002300,1002305,559c1e28fdf99b2189ee807d,1,0.45,1.45,0,0,0,0,0
24,1002402,2002406,1002402,939w5B98Rfs87y8106Km177c,1,0,1,0,0,0,0,0
25,1002502,2002507,1002502,5e6082e81100913cdcf6081f,1,5.13,6.13,0,0,0,1,1
26,1002605,2002606,1002605,5ce7b20479642d00197682ea,1,0.32,1.32,0,0,0,0,0
27,1002706,2002701,1002706,9Tz8N59899487y81062617Zc,1,0,1,0,0,0,0,0
28,1002805,2002803,1002805,63d40e3588ba6ef2a3ce7c37,1,0.81,1.81,0,0,0,0,0
29,1002902,2002906,1002902,5bc8897f462bdb0001a61426,1,0.89,1.89,0,0,0,0,0
30,1003004,2003003,1003004,630a5d054a84587d32b7d526,1,0.13,1.13,0,0,0,0,0
31,1003101,2003104,1003101,61001d9b2e3d8a75a09f3db3,1,4.58,5.58,0,0,0,0,0
32,1003209,2003206,1003209,5de7d12c26dd95000b6824c5,1,1.98,2.98,0,0,0,0,0
33,1003301,2003301,1003301,5e4044797946592823cbec2a,1,0.04,1.04,0,0,1,2,2
34,1003404,2003408,1003404,63d8766016c0bfcd19d3c732,1,0.62,1.62,0,1,0,1,1
35,1003505,2003502,1003505,622a066173bc257c44fa255b,1,0.15,1.15,0,1,0,0,1
36,1003600,2003604,1003600,6143abecd2f51fa8dfe7f3c3,1,0.4,1.4,0,0,0,0,0
37,1003700,2003700,1003700,62a2adb16716c2e0c8d3c07a,1,2.58,3.58,0,0,0,0,0
38,1003809,2003805,1003809,572535bba34b2a001306827c,1,0.08,1.08,0,0,0,0,0
39,1003901,2003903,1003901,601978b272f5e808b394198d,1,0.18,1.18,0,1,0,0,1
40,1004006,2004004,1004006,641370f5a8d3826956778170,1,0,1,0,0,0,0,0
41,1004101,2004107,1004101,628d0122bd2de9268f57e207,1,0.23,1.23,0,1,0,0,1
42,1004208,2004204,1004208,56f0393f3f71990005d0e66d,1,1.08,2.08,0,0,0,0,0
43,1004306,2004306,1004306,58ed7f5aac62dc00019366a9,1,0.05,1.05,0,0,0,0,0
44,1004409,2004407,1004409,5d63275f9b22da000117b107,1,0.15,1.15,0,1,0,0,1
45,1004509,2004501,1004509,5de8873243e90d7f894dd8dc,1,0.97,1.97,0,0,0,0,0
46,1004609,2004601,1004609,61267e282a445af9eb95beae,1,6.56,7.56,0,0,0,0,0
47,1004701,2004703,1004701,615200800c7a074171c4968d,1,0,1,0,0,0,0,0
48,1004802,2004809,1004802,56435b83942576000a66eb5d,1,0.13,1.13,0,1,0,1,1
49,1004902,2004909,1004902,5dd343f19595a13585492c99,1,0.11,1.11,0,0,0,0,0
50,1005007,2005009,1005007,60e792f25e9ab875f9605cf5,1,0.11,1.11,0,0,0,0,0
51,1005108,2005109,1005108,646b8a7250112d7c734be0a8,1,0.73,1.73,0,1,0,0,1
52,1005202,2005207,1005202,5dc1d16946c7ba134f6626bc,1,0.35,1.35,0,0,0,0,0
53,1005302,2005300,1005302,5dd74005794e106ec44df770,1,3.42,4.42,0,0,0,0,0
54,1005404,2005405,1005404,60d1af27fbac62dfb9687c96,1,3.6,4.6,0,1,0,1,1
55,1005501,2005509,1005501,60e00468ba249d2d30b2d7b2,1,0.42,1.42,0,0,0,0,0
56,1005603,2005602,1005603,559e82dffdf99b7a9a124180,1,0.66,1.66,0,1,0,1,1
57,1005702,2005705,1005702,5ac440da9534ba0001c736da,1,1.18,2.18,0,0,0,0,0
58,1005803,2005800,1005803,628f9ef985fa6d3dc816672c,1,0,1,0,0,0,0,0
61,1006108,2006102,1006108,NA,1,0,1,0,0,0,0,0
63,1006300,2006304,1006300,66565,1,0,1,0,0,0,0,0
64,1006403,2006401,1006403,5c1d3f2299de680001e28182,1,0.17,1.17,0,0,0,0,0
65,1006500,2006506,1006500,5f59196cdfe283117d6e909e,1,0,1,0,0,0,0,0
66,1006608,2006604,1006608,614f2b16d983019aeace1fe5,1,0.24,1.24,0,1,0,0,1
67,1006701,2006703,1006701,60fe0b0e6ef0d55831c2e05b,1,0.85,1.85,0,1,0,0,1
68,1006802,2006807,1006802,5acb67dc9534ba0001c78484,1,0,1,0,0,0,0,0
69,1006909,2006903,1006909,61569ee5ec13f9d23135674e,1,2.66,3.66,0,1,0,1,1
70,1007000,2007003,1007000,5f31bbe840a5c90e5a9a7b68,1,0.11,1.11,0,0,0,0,0
71,1007104,2007105,1007104,5c9d05fd85b0830012e016f3,1,1.15,2.15,0,1,0,0,1
72,1007208,2007206,1007208,6501d0f937a256cf2acc3931,1,0,1,0,1,0,1,1
73,1007306,2007307,1007306,5e74c29fd5af7801167c41a6,1,0.09,1.09,0,0,0,0,0
74,1007400,2007405,1007400,5fcedd765eac8f1c4eb9e54b,1,1.62,2.62,0,1,0,0,1
75,1007504,2007500,1007504,6503127d883713ae807c9370,1,0,1,0,1,0,0,1
76,1007606,2007608,1007606,60fa33610e4b25f11babd130,1,0.59,1.59,0,1,0,0,1
77,1007705,2007705,1007705,63ac4a9bad03f0df84ad9131,1,0.33,1.33,0,0,0,0,0
78,1007806,2007808,1007806,614b93c99681921c8e9cec09,1,0,1,0,0,0,0,0
79,1007903,2007903,1007903,644065e48a7e066e05ef2bdf,1,0.1,1.1,0,0,0,0,0
80,1008004,2008002,1008004,6441890f4ea5d3738776aff4,1,0.1,1.1,0,0,0,0,0
81,1008107,2008109,1008107,5aee59100ccc2e000185937c,1,0.55,1.55,0,0,0,0,0
82,1008209,2008208,1008209,5e69d69465f14102e116627b,1,0.92,1.92,0,1,0,0,1
83,1008303,2008300,1008303,650305ef93ed518ab2f13b3b,1,0.66,1.66,0,0,0,0,0
84,1008400,2008400,1008400,5f40442792000717762de583,1,0.19,1.19,0,0,0,0,0
85,1008503,2008506,1008503,63d04b491f107d5183af218f,1,0.74,1.74,0,1,0,0,1
86,1008601,2008602,1008601,64403c89a41364ded4a3880c,1,0.18,1.18,0,1,0,0,1
87,1008703,2008700,1008703,62b08773cf2ee3e1920099c8,1,3.24,4.24,0,0,0,0,0
88,1008805,2008809,1008805,60fcfe409aabc7aa28ddf674,1,0.06,1.06,0,0,0,0,0
89,1008909,2008900,1008909,63f793ffba7e890a6efd936e,1,1.07,2.07,0,1,0,1,1
90,1009006,2009000,1009006,60e5eceb989f38c746723024,1,0.35,1.35,0,1,0,0,1
91,1009105,2009101,1009105,607ec28e6a0bde56a9d69ddc,1,0.2,1.2,0,0,0,0,0
92,1009205,2009207,1009205,60ff2478cdcbfc8ebaddf054,1,0.76,1.76,0,0,0,0,0
93,1009301,2009303,1009301,6294ea611ee4f49421c6b905,1,0.7,1.7,0,1,0,0,1
94,1009406,2009401,1009406,62b4ef82055cec7135502ada,1,0.69,1.69,0,0,0,0,0
95,1009500,2009503,1009500,6455b4121cd3166666ae1fdd,1,4.02,5.02,0,0,0,0,0
96,1009606,2009606,1009606,5f4962321798ec4bf94a655f,1,0.8,1.8,0,1,0,0,1
97,1009706,2009701,1009706,611ab91a00baa062f55b86d8,1,4.31,5.31,0,0,0,0,0
98,1009803,2009803,1009803,5d4254db5b2c430001418a3c,1,1.13,2.13,0,0,0,0,0
99,1009906,2009909,1009906,6503119f7522c9e4baeb3eca,1,0,1,1,0,1,1,1
100,1010005,2010000,1010005,5f9706c10ba3c6050a256977,1,0,1,0,0,0,0,0
101,1010109,2010106,1010109,6019bbb66e5c2815ba3728b6,1,0.32,1.32,0,0,0,0,0
102,1010203,2010205,1010203,5f1f2c053dd3620d41353827,1,5.99,6.99,0,0,0,0,0
103,1010309,2010303,1010309,636eef4c2fa8b09cc41bba0e,1,0.97,1.97,0,1,0,1,1
104,1010400,2010403,1010400,6314c1e76c3f71e2127f1976,1,0.06,1.06,0,1,0,1,1
105,1010500,2010500,1010500,5dc3841029bf8929c19e2863,1,5.31,6.31,0,1,1,1,1
106,1010607,2010605,1010607,5de6eca0a91be366cbb5ffe2,1,0.82,1.82,0,1,0,0,1
107,1010704,2010701,1010704,63d80a392c05f6a765d9e63a,1,2.45,3.45,0,0,0,0,0
108,1010807,2010804,1010807,5c6ac9e5d9c5be000174497f,1,0,1,0,1,0,0,1
109,1010900,2010903,1010900,6476122c3edb0289e7d0efb2,1,0.39,1.39,0,1,0,0,1
110,1011006,2011000,1011006,5c8f224c9d2bff0001867ce2,1,4.37,5.37,0,0,0,0,0
111,1011105,2011104,1011105,63f78da535c3e1d481a62cf2,1,0.71,1.71,0,0,0,1,1
112,1011202,2011208,1011202,6137ac01b8ff9b79e14eded1,1,0.51,1.51,0,1,0,0,1
113,1011300,2011300,1011300,63ac642d0319ac77a16ce1bc,1,0.48,1.48,0,0,0,0,0
114,1011401,2011408,1011401,5c1827dbebe9950001752e40,1,0.29,1.29,0,1,0,0,1
115,1011509,2011500,1011509,5c0ef15265217a00014ef2bd,1,0.12,1.12,0,0,0,0,0
116,1011600,2011603,1011600,64017b47c83e917541f7c592,1,5.91,6.91,0,0,0,1,1
