Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65032ea8e9a8aae372c99498,5c1d3f2299de680001e28182,APPROVED,2023-09-14T16:05:48.865000Z,2023-09-14T16:24:59.570000Z,2023-09-15T10:29:57.122000,2023-09-14T16:25:00.058794Z,1151,C6VEY6VR,907,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
650333010f264a455f95cf6a,614f2b16d983019aeace1fe5,APPROVED,2023-09-14T16:21:31.293000Z,2023-09-14T16:47:32.176000Z,2023-09-15T10:29:57.279000,2023-09-14T16:47:32.828849Z,1561,C6VEY6VR,1235,28,Female,White,United States,United States,United States,English,No,Full-Time
6503341243516c30dde9f84f,60fe0b0e6ef0d55831c2e05b,APPROVED,2023-09-14T16:25:56.921000Z,2023-09-14T16:40:00.399000Z,2023-09-15T10:29:57.406000,2023-09-14T16:40:01.510132Z,844,C6VEY6VR,107,21,Female,White,United States,United States,United States,English,Yes,Other
65033434bc0c3d9140960e9c,5acb67dc9534ba0001c78484,APPROVED,2023-09-14T16:26:39.416000Z,2023-09-14T16:49:25.101000Z,2023-09-15T10:29:57.523000,2023-09-14T16:49:43.904897Z,1366,C6VEY6VR,211,50,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65033551ed19d02105900aa3,61569ee5ec13f9d23135674e,APPROVED,2023-09-14T16:31:27.967000Z,2023-09-14T16:49:33.702000Z,2023-09-15T10:29:57.647000,2023-09-14T16:49:43.923245Z,1086,C6VEY6VR,615,34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
650335b32fc9e05612b9caa7,5f31bbe840a5c90e5a9a7b68,APPROVED,2023-09-14T16:32:57.152000Z,2023-09-14T16:49:03.855000Z,2023-09-15T10:29:57.773000,2023-09-14T16:49:26.446136Z,967,C6VEY6VR,1312,33,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
650335f66580d5bcd1aa44ed,5c9d05fd85b0830012e016f3,APPROVED,2023-09-14T16:34:01.215000Z,2023-09-14T16:44:29.752000Z,2023-09-15T10:30:02.185000,2023-09-14T16:44:30.233923Z,629,C6VEY6VR,3653,52,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6503366c6580d5bcd1aa4509,6501d0f937a256cf2acc3931,APPROVED,2023-09-14T16:35:59.728000Z,2023-09-14T16:49:10.689000Z,2023-09-15T10:30:02.370000,2023-09-14T16:49:31.091451Z,791,C6VEY6VR,8,31,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
650336ab4d2c0c530fa091bf,5e69d69465f14102e116627b,APPROVED,2023-09-14T16:42:50.107000Z,2023-09-14T16:57:17.643000Z,2023-09-15T10:30:02.535000,2023-09-14T16:57:18.334829Z,868,C6VEY6VR,1547,31,Male,Other,United States,United States,Puerto Rico,English,DATA_EXPIRED,DATA_EXPIRED
650336cfd54715a500f88792,5e74c29fd5af7801167c41a6,APPROVED,2023-09-14T16:37:38.925000Z,2023-09-14T16:47:52.129000Z,2023-09-15T10:29:57.890000,2023-09-14T16:47:52.655140Z,614,C6VEY6VR,1611,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
650336e9c5e54e229384c2ea,5fcedd765eac8f1c4eb9e54b,APPROVED,2023-09-14T16:38:12.412000Z,2023-09-14T16:49:46.622000Z,2023-09-15T10:29:58.005000,2023-09-14T16:49:51.798426Z,695,C6VEY6VR,22,25,Female,Other,United States,United States,United States,English,No,DATA_EXPIRED
650336f3f8a58c7dcbcc63b9,60fa33610e4b25f11babd130,APPROVED,2023-09-14T16:38:16.257000Z,2023-09-14T16:56:01.970000Z,2023-09-15T10:29:58.125000,2023-09-14T16:56:02.704210Z,1066,C6VEY6VR,430,41,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
650336fed3355f9049c42b1c,63ac4a9bad03f0df84ad9131,APPROVED,2023-09-14T16:38:27.150000Z,2023-09-14T16:59:25.840000Z,2023-09-15T10:29:58.252000,2023-09-14T16:59:30.846223Z,1259,C6VEY6VR,155,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
650336ff32570df80cfa88a3,6503127d883713ae807c9370,APPROVED,2023-09-14T16:38:27.695000Z,2023-09-14T17:03:16.277000Z,2023-09-15T10:29:58.375000,2023-09-14T17:04:32.895861Z,1489,C6VEY6VR,2,28,Female,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65033743f77868d4c4321759,614b93c99681921c8e9cec09,APPROVED,2023-09-14T16:39:36.524000Z,2023-09-14T16:59:50.210000Z,2023-09-15T10:29:58.510000,2023-09-14T16:59:50.890021Z,1214,C6VEY6VR,424,41,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6503375bbdf85dd8cb0d2721,644065e48a7e066e05ef2bdf,APPROVED,2023-09-14T16:39:58.895000Z,2023-09-14T16:53:52.411000Z,2023-09-15T10:30:02.722000,2023-09-14T16:53:52.929469Z,834,C6VEY6VR,324,24,Male,White,United States,United States,United States,English,No,Full-Time
6503377139c9b4ba29fb715c,6441890f4ea5d3738776aff4,APPROVED,2023-09-14T16:40:33.859000Z,2023-09-14T16:52:35.653000Z,2023-09-15T10:30:02.893000,2023-09-14T16:52:56.400516Z,722,C6VEY6VR,463,29,Male,White,United States,United States,United States,English,No,Full-Time
650337bc5edd241087a6daee,5aee59100ccc2e000185937c,APPROVED,2023-09-14T16:42:35.167000Z,2023-09-14T17:13:07.290000Z,2023-09-15T10:30:03.062000,2023-09-14T17:13:07.772153Z,1833,C6VEY6VR,1238,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6503385dc66f9ac105da8df0,5f40442792000717762de583,APPROVED,2023-09-14T16:44:13.915000Z,2023-09-14T17:09:31.741000Z,2023-09-15T10:30:03.250000,2023-09-14T17:09:32.297201Z,1518,C6VEY6VR,848,DATA_EXPIRED,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65033897914a5907e1c3b3f5,650305ef93ed518ab2f13b3b,APPROVED,2023-09-14T16:45:16.255000Z,2023-09-14T16:58:49.534000Z,2023-09-15T10:29:58.638000,2023-09-14T16:58:54.380922Z,814,C6VEY6VR,5,38,Female,White,Canada,United States,Canada,English,No,Unemployed (and job seeking)
650338a93a1c2e9c3495cf8c,63d04b491f107d5183af218f,APPROVED,2023-09-14T16:45:35.349000Z,2023-09-14T17:02:20.991000Z,2023-09-15T10:29:59.067000,2023-09-14T17:04:06.639962Z,1006,C6VEY6VR,298,64,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
650338c3ef184d090cd9436c,64403c89a41364ded4a3880c,APPROVED,2023-09-14T16:46:06.753000Z,2023-09-14T17:04:30.762000Z,2023-09-15T10:30:03.428000,2023-09-14T17:04:54.127244Z,1105,C6VEY6VR,420,39,Male,White,United States,United States,United States,English,No,Part-Time
650338f9235a654a726d476c,62b08773cf2ee3e1920099c8,APPROVED,2023-09-14T16:46:53.359000Z,2023-09-14T17:01:43.559000Z,2023-09-15T10:29:59.184000,2023-09-14T17:02:49.768755Z,891,C6VEY6VR,1279,42,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65033908d1ad9a35479d304f,60fcfe409aabc7aa28ddf674,APPROVED,2023-09-14T16:47:10.332000Z,2023-09-14T17:03:24.862000Z,2023-09-15T10:29:59.298000,2023-09-14T17:04:34.195079Z,975,C6VEY6VR,16,21,Female,White,United States,United States,United States,English,No,Full-Time
