"player","points","cells","env_number","gempresent","round","tot_points","gem","trial","unique_rounds","round_id"
1,234,45,3,1,1,321,1,1,1,1
1,-69,38,3,1,1,321,0,2,1,1
1,49,31,3,1,1,321,0,3,1,1
1,67,22,3,1,1,321,0,4,1,1
1,-12,21,3,1,1,321,0,5,1,1
1,14,20,3,1,1,321,0,6,1,1
1,-23,13,3,1,1,321,0,7,1,1
1,-22,13,3,1,1,321,0,8,1,1
1,-21,13,3,1,1,321,0,9,1,1
1,58,22,3,1,1,321,0,10,1,1
1,-27,21,3,1,1,321,0,11,1,1
1,15,46,3,1,1,321,0,12,1,1
1,18,47,3,1,1,321,0,13,1,1
1,75,39,3,1,1,321,0,14,1,1
1,3,48,3,1,1,321,0,15,1,1
1,47,40,3,1,1,321,0,16,1,1
1,-16,37,3,1,1,321,0,17,1,1
1,-30,36,3,1,1,321,0,18,1,1
1,4,28,3,1,1,321,0,19,1,1
1,0,29,3,1,1,321,0,20,1,1
1,-61,27,3,1,1,321,0,21,1,1
1,34,19,3,1,1,321,0,22,1,1
1,-40,29,3,1,1,321,0,23,1,1
1,-28,30,3,1,1,321,0,24,1,1
1,52,23,3,1,1,321,0,25,1,1
1,37,29,4,0,2,11,0,1,2,2
1,-13,44,4,0,2,11,0,2,2,2
1,48,29,4,0,2,11,0,3,2,2
1,-6,35,4,0,2,11,0,4,2,2
1,40,13,4,0,2,11,0,5,2,2
1,-19,19,4,0,2,11,0,6,2,2
1,32,13,4,0,2,11,0,7,2,2
1,-41,27,4,0,2,11,0,8,2,2
1,39,13,4,0,2,11,0,9,2,2
1,-36,28,4,0,2,11,0,10,2,2
1,-53,22,4,0,2,11,0,11,2,2
1,-21,37,4,0,2,11,0,12,2,2
1,8,31,4,0,2,11,0,13,2,2
1,3,45,4,0,2,11,0,14,2,2
1,-52,39,4,0,2,11,0,15,2,2
1,30,53,4,0,2,11,0,16,2,2
1,-51,39,4,0,2,11,0,17,2,2
1,-1,44,4,0,2,11,0,18,2,2
1,63,30,4,0,2,11,0,19,2,2
1,-17,35,4,0,2,11,0,20,2,2
1,23,21,4,0,2,11,0,21,2,2
1,37,34,4,0,2,11,0,22,2,2
1,20,21,4,0,2,11,0,23,2,2
1,-13,61,4,0,2,11,0,24,2,2
1,-46,55,4,0,2,11,0,25,2,2
1,-31,34,2,0,3,106,0,1,3,3
1,35,43,2,0,3,106,0,2,3,3
1,-45,52,2,0,3,106,0,3,3,3
1,-26,52,2,0,3,106,0,4,3,3
1,36,43,2,0,3,106,0,5,3,3
1,5,27,2,0,3,106,0,6,3,3
1,17,27,2,0,3,106,0,7,3,3
1,38,45,2,0,3,106,0,8,3,3
1,2,29,2,0,3,106,0,9,3,3
1,-15,20,2,0,3,106,0,10,3,3
1,67,19,2,0,3,106,0,11,3,3
1,-43,36,2,0,3,106,0,12,3,3
1,-50,40,2,0,3,106,0,13,3,3
1,-21,39,2,0,3,106,0,14,3,3
1,1,64,2,0,3,106,0,15,3,3
1,4,48,2,0,3,106,0,16,3,3
1,35,47,2,0,3,106,0,17,3,3
1,-34,54,2,0,3,106,0,18,3,3
1,43,47,2,0,3,106,0,19,3,3
1,12,16,2,0,3,106,0,20,3,3
1,-40,14,2,0,3,106,0,21,3,3
1,58,21,2,0,3,106,0,22,3,3
1,35,30,2,0,3,106,0,23,3,3
1,34,30,2,0,3,106,0,24,3,3
1,-11,31,2,0,3,106,0,25,3,3
1,-1,29,1,1,4,3631,0,1,4,4
1,-14,29,1,1,4,3631,0,2,4,4
1,0,29,1,1,4,3631,0,3,4,4
1,-10,29,1,1,4,3631,0,4,4,4
1,6,21,1,1,4,3631,0,5,4,4
1,36,4,1,1,4,3631,0,6,4,4
1,-18,20,1,1,4,3631,0,7,4,4
1,261,44,1,1,4,3631,1,8,4,4
1,50,53,1,1,4,3631,0,9,4,4
1,-41,47,1,1,4,3631,0,10,4,4
1,-23,48,1,1,4,3631,0,11,4,4
1,7,39,1,1,4,3631,0,12,4,4
1,259,44,1,1,4,3631,1,13,4,4
1,259,44,1,1,4,3631,1,14,4,4
1,260,44,1,1,4,3631,1,15,4,4
1,260,44,1,1,4,3631,1,16,4,4
1,259,44,1,1,4,3631,1,17,4,4
1,259,44,1,1,4,3631,1,18,4,4
1,259,44,1,1,4,3631,1,19,4,4
1,260,44,1,1,4,3631,1,20,4,4
1,261,44,1,1,4,3631,1,21,4,4
1,261,44,1,1,4,3631,1,22,4,4
1,259,44,1,1,4,3631,1,23,4,4
1,260,44,1,1,4,3631,1,24,4,4
1,262,44,1,1,4,3631,1,25,4,4
1,-44,44,2,1,5,286,0,1,5,5
1,-20,27,2,1,5,286,0,2,5,5
1,-52,19,2,1,5,286,0,3,5,5
1,-43,52,2,1,5,286,0,4,5,5
1,-33,31,2,1,5,286,0,5,5,5
1,59,47,2,1,5,286,0,6,5,5
1,29,32,2,1,5,286,0,7,5,5
1,-21,46,2,1,5,286,0,8,5,5
1,22,32,2,1,5,286,0,9,5,5
1,50,38,2,1,5,286,0,10,5,5
1,50,23,2,1,5,286,0,11,5,5
1,30,29,2,1,5,286,0,12,5,5
1,20,15,2,1,5,286,0,13,5,5
1,6,21,2,1,5,286,0,14,5,5
1,21,15,2,1,5,286,0,15,5,5
1,-2,22,2,1,5,286,0,16,5,5
