playerNr,randomid,randomidNotPlayed,relevantRandomid,externalID,participationAmount,bonusAmount,totalEarnings,qR1_fail,qR2_fail,qR3_fail,newvar_fail,quizFail
1,1000103,2000104,1000103,63cbe791de660535b4761f79,1,0,1,0,0,0,0,0
2,1000205,2000209,1000205,5f69ca3d8c30bb0008f456b5,1,0,1,0,0,0,0,0
3,1000302,2000306,1000302,60c08a14a8918abbf1632d78,1,0,1,0,1,0,0,1
4,1000401,2000403,1000401,646ea738b09c968e6f3a4cec,1,0,1,0,1,1,1,1
5,1000509,2000507,1000509,60883e078fa7828e99acb69a,1,0,1,0,0,0,0,0
6,1000606,2000606,1000606,6474c2434fe592ada512c9a4,1,0,1,0,1,0,1,1
7,1000700,2000707,1000700,602f329284781fbf09e0cafc,1,0,1,0,0,0,0,0
8,1000800,2000801,1000800,5e3faa732596b01f5507c7bc,1,0,1,0,1,0,0,1
9,1000902,2000905,1000902,61592b5bb5f39ee9f3686afb,1,0,1,0,1,1,1,2
10,1001007,2001002,1001007,5a6b7f02e6cc4a0001b6a591,1,0,1,0,0,0,0,0
11,1001100,2001104,1001100,64135d9db0d03edba0b91c08,1,0,1,0,0,0,0,0
12,1001202,2001206,1001202,60fcdd3be2ae9576df065728,1,0,1,0,1,0,0,1
13,1001303,2001301,1001303,5eea49c09e6f8711b4cdf3bb,1,0,1,0,1,0,0,1
14,1001406,2001403,1001406,6123ffd66668fe39928e28b0,1,0,1,0,0,0,0,0
15,1001504,2001507,1001504,57d02ffb596f5d0001df741f,1,0,1,0,0,0,0,0
16,1001602,2001606,1001602,63bd0ea81eb79e05e10d78d0,1,0,1,0,0,0,1,1
