playerNr,groupNr,subjectNr,groupNrStart,currentGroupSize,period,onPage,connected,tStart,lastActionTime,ipaddress,ipaddress_part,location,waitMore,lobbyReady,enterLobby,role,wait_379596ready,wait_376393ready,wait_376483ready,wait_376394ready,wait_376395ready,wait_376396ready,wait_376397ready,wait_376398ready,wait_376399ready,wait_376400ready,wait_376401ready,wait_376455ready,wait_376468ready,wait_376402ready,wait_379597ready,wait_376540ready,wait_379440ready,wait_376405ready,wait_379831ready,wait_376406ready,wait_376482ready,wait_lastInPeriod,periodReady,leftExperiment,experimentTerminated,groupAborted
1,0,0,0,0,12,end,NA,1685747986,1685747999,fe7f52a0ae31584c8186ff3d5347e54298893746,68.58.125.,39.8996#-86.1692,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2,0,0,0,0,1,i1,NA,1685746892,1685746932,6def2f17c70cf67c78152de283732bb671781435,76.156.89.,44.971#-93.0498,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
3,0,0,0,0,12,end,NA,1685748033,1685748056,2e92e4af53a3dc836b52f439918aa8c986101373,70.160.245,37.3197#-76.7625,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
4,0,0,0,0,12,end,NA,1685748073,1685748086,d2aa29ce8ca87d9430404f8c36c3686094011391,98.222.145,42.1098#-86.4259,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
5,0,0,0,0,12,end,NA,1685748217,1685748225,23bbcd727dea8a8926975e6b523d7e1429663600,71.46.205.,35.2976#-119.0484,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
6,0,0,0,0,12,end,0,1685749561,1685749607,f47a317d2cd1f0d3f92439a41f4e706866059127,71.121.130,39.3645#-76.6069,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
7,0,0,0,0,12,end,NA,1685748404,1685748415,01b3cbac98a961bb67b870ba3ab46f2279375689,71.223.165,33.5093#-112.0563,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
8,0,0,0,0,12,end,NA,1685748469,1685748488,11665e5f673319a7712926063b7d294533966045,104.61.233,36.3528#-119.3007,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
9,0,0,0,0,12,end,NA,1685748407,1685748414,ea3914a4ca3d7df78c549053c58d3f4c95859523,32.209.27.,41.3908#-73.4483,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
10,0,0,0,0,12,end,NA,1685748706,1685748713,76c6b9537ae9a94ec99d94d21b07fc8711968601,104.181.68,30.5154#-97.6689,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
11,0,0,0,0,12,end,NA,1685748577,1685748599,5903530c1389784cc1862b9605e6824d73026540,98.20.245.,41.3657#-78.7242,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
12,0,0,0,0,12,end,NA,1685748773,1685748781,1e34e0b18391a859608a71042f1c14bc57528404,199.66.169,32.7509#-111.5833,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
13,0,0,0,0,12,end,NA,1685748815,1685748822,8f9c35ada367b61ec1516ee99ce5961e89704819,73.94.66.1,45.128#-93.4586,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
14,0,0,0,0,12,end,0,1685749153,1685749164,3f132c1e11eeb16ea055363b62c5f8ec43466368,76.87.205.,34.1172#-117.6472,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
15,0,0,0,0,12,end,0,1685749198,1685749208,f9f91a49e12c64190f2b42da882858fe73221804,74.129.193,38.1842#-85.8375,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
16,0,0,0,0,12,end,0,1685749428,1685749438,459b3f4ad31a60c1dc54b79f5aa618ae13804708,76.87.99.1,34.0264#-117.936,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
