"player","points","cells","env_number","gempresent","round","tot_points","gem","cell","x","y"
1,234,45,3,1,1,321,1,44,4,5
1,-69,38,3,1,1,321,0,37,5,4
1,49,31,3,1,1,321,0,30,6,3
1,67,22,3,1,1,321,0,21,5,2
1,-12,21,3,1,1,321,0,20,4,2
1,14,20,3,1,1,321,0,19,3,2
1,-23,13,3,1,1,321,0,12,4,1
1,-22,13,3,1,1,321,0,12,4,1
1,-21,13,3,1,1,321,0,12,4,1
1,58,22,3,1,1,321,0,21,5,2
1,-27,21,3,1,1,321,0,20,4,2
1,15,46,3,1,1,321,0,45,5,5
1,18,47,3,1,1,321,0,46,6,5
1,75,39,3,1,1,321,0,38,6,4
1,3,48,3,1,1,321,0,47,7,5
1,47,40,3,1,1,321,0,39,7,4
1,-16,37,3,1,1,321,0,36,4,4
1,-30,36,3,1,1,321,0,35,3,4
1,4,28,3,1,1,321,0,27,3,3
1,0,29,3,1,1,321,0,28,4,3
1,-61,27,3,1,1,321,0,26,2,3
1,34,19,3,1,1,321,0,18,2,2
1,-40,29,3,1,1,321,0,28,4,3
1,-28,30,3,1,1,321,0,29,5,3
1,52,23,3,1,1,321,0,22,6,2
1,37,29,4,0,2,11,0,28,4,3
1,-13,44,4,0,2,11,0,43,3,5
1,48,29,4,0,2,11,0,28,4,3
1,-6,35,4,0,2,11,0,34,2,4
1,40,13,4,0,2,11,0,12,4,1
1,-19,19,4,0,2,11,0,18,2,2
1,32,13,4,0,2,11,0,12,4,1
1,-41,27,4,0,2,11,0,26,2,3
1,39,13,4,0,2,11,0,12,4,1
1,-36,28,4,0,2,11,0,27,3,3
1,-53,22,4,0,2,11,0,21,5,2
1,-21,37,4,0,2,11,0,36,4,4
1,8,31,4,0,2,11,0,30,6,3
1,3,45,4,0,2,11,0,44,4,5
1,-52,39,4,0,2,11,0,38,6,4
1,30,53,4,0,2,11,0,52,4,6
1,-51,39,4,0,2,11,0,38,6,4
1,-1,44,4,0,2,11,0,43,3,5
1,63,30,4,0,2,11,0,29,5,3
1,-17,35,4,0,2,11,0,34,2,4
1,23,21,4,0,2,11,0,20,4,2
1,37,34,4,0,2,11,0,33,1,4
1,20,21,4,0,2,11,0,20,4,2
1,-13,61,4,0,2,11,0,60,4,7
1,-46,55,4,0,2,11,0,54,6,6
1,-31,34,2,0,3,106,0,33,1,4
1,35,43,2,0,3,106,0,42,2,5
1,-45,52,2,0,3,106,0,51,3,6
1,-26,52,2,0,3,106,0,51,3,6
1,36,43,2,0,3,106,0,42,2,5
1,5,27,2,0,3,106,0,26,2,3
1,17,27,2,0,3,106,0,26,2,3
1,38,45,2,0,3,106,0,44,4,5
1,2,29,2,0,3,106,0,28,4,3
1,-15,20,2,0,3,106,0,19,3,2
1,67,19,2,0,3,106,0,18,2,2
1,-43,36,2,0,3,106,0,35,3,4
1,-50,40,2,0,3,106,0,39,7,4
1,-21,39,2,0,3,106,0,38,6,4
1,1,64,2,0,3,106,0,63,7,7
1,4,48,2,0,3,106,0,47,7,5
1,35,47,2,0,3,106,0,46,6,5
1,-34,54,2,0,3,106,0,53,5,6
1,43,47,2,0,3,106,0,46,6,5
1,12,16,2,0,3,106,0,15,7,1
1,-40,14,2,0,3,106,0,13,5,1
1,58,21,2,0,3,106,0,20,4,2
1,35,30,2,0,3,106,0,29,5,3
1,34,30,2,0,3,106,0,29,5,3
1,-11,31,2,0,3,106,0,30,6,3
1,-1,29,1,1,4,3631,0,28,4,3
1,-14,29,1,1,4,3631,0,28,4,3
1,0,29,1,1,4,3631,0,28,4,3
1,-10,29,1,1,4,3631,0,28,4,3
1,6,21,1,1,4,3631,0,20,4,2
1,36,4,1,1,4,3631,0,3,3,0
1,-18,20,1,1,4,3631,0,19,3,2
1,261,44,1,1,4,3631,1,43,3,5
1,50,53,1,1,4,3631,0,52,4,6
1,-41,47,1,1,4,3631,0,46,6,5
1,-23,48,1,1,4,3631,0,47,7,5
1,7,39,1,1,4,3631,0,38,6,4
1,259,44,1,1,4,3631,1,43,3,5
1,259,44,1,1,4,3631,1,43,3,5
1,260,44,1,1,4,3631,1,43,3,5
1,260,44,1,1,4,3631,1,43,3,5
1,259,44,1,1,4,3631,1,43,3,5
1,259,44,1,1,4,3631,1,43,3,5
1,259,44,1,1,4,3631,1,43,3,5
1,260,44,1,1,4,3631,1,43,3,5
1,261,44,1,1,4,3631,1,43,3,5
1,261,44,1,1,4,3631,1,43,3,5
1,259,44,1,1,4,3631,1,43,3,5
1,260,44,1,1,4,3631,1,43,3,5
1,262,44,1,1,4,3631,1,43,3,5
1,-44,44,2,1,5,286,0,43,3,5
1,-20,27,2,1,5,286,0,26,2,3
1,-52,19,2,1,5,286,0,18,2,2
1,-43,52,2,1,5,286,0,51,3,6
1,-33,31,2,1,5,286,0,30,6,3
1,59,47,2,1,5,286,0,46,6,5
1,29,32,2,1,5,286,0,31,7,3
1,-21,46,2,1,5,286,0,45,5,5
1,22,32,2,1,5,286,0,31,7,3
1,50,38,2,1,5,286,0,37,5,4
1,50,23,2,1,5,286,0,22,6,2
1,30,29,2,1,5,286,0,28,4,3
