"player","points","cells","env_number","gempresent","round","tot_points","gem","trial","unique_rounds","round_id","cell","x","y","round_gem_found","performance_group_f","performance_group"
1,234,45,3,1,1,321,1,1,1,1,44,4,5,1,"medium",2
1,-69,38,3,1,1,321,0,2,1,1,37,5,4,1,"medium",2
1,49,31,3,1,1,321,0,3,1,1,30,6,3,1,"medium",2
1,67,22,3,1,1,321,0,4,1,1,21,5,2,1,"medium",2
1,-12,21,3,1,1,321,0,5,1,1,20,4,2,1,"medium",2
1,14,20,3,1,1,321,0,6,1,1,19,3,2,1,"medium",2
1,-23,13,3,1,1,321,0,7,1,1,12,4,1,1,"medium",2
1,-22,13,3,1,1,321,0,8,1,1,12,4,1,1,"medium",2
1,-21,13,3,1,1,321,0,9,1,1,12,4,1,1,"medium",2
1,58,22,3,1,1,321,0,10,1,1,21,5,2,1,"medium",2
1,-27,21,3,1,1,321,0,11,1,1,20,4,2,1,"medium",2
1,15,46,3,1,1,321,0,12,1,1,45,5,5,1,"medium",2
1,18,47,3,1,1,321,0,13,1,1,46,6,5,1,"medium",2
1,75,39,3,1,1,321,0,14,1,1,38,6,4,1,"medium",2
1,3,48,3,1,1,321,0,15,1,1,47,7,5,1,"medium",2
1,47,40,3,1,1,321,0,16,1,1,39,7,4,1,"medium",2
1,-16,37,3,1,1,321,0,17,1,1,36,4,4,1,"medium",2
1,-30,36,3,1,1,321,0,18,1,1,35,3,4,1,"medium",2
1,4,28,3,1,1,321,0,19,1,1,27,3,3,1,"medium",2
1,0,29,3,1,1,321,0,20,1,1,28,4,3,1,"medium",2
1,-61,27,3,1,1,321,0,21,1,1,26,2,3,1,"medium",2
1,34,19,3,1,1,321,0,22,1,1,18,2,2,1,"medium",2
1,-40,29,3,1,1,321,0,23,1,1,28,4,3,1,"medium",2
1,-28,30,3,1,1,321,0,24,1,1,29,5,3,1,"medium",2
1,52,23,3,1,1,321,0,25,1,1,22,6,2,1,"medium",2
1,37,29,4,0,2,11,0,1,2,2,28,4,3,NA,NA,NA
1,-13,44,4,0,2,11,0,2,2,2,43,3,5,NA,NA,NA
1,48,29,4,0,2,11,0,3,2,2,28,4,3,NA,NA,NA
1,-6,35,4,0,2,11,0,4,2,2,34,2,4,NA,NA,NA
1,40,13,4,0,2,11,0,5,2,2,12,4,1,NA,NA,NA
1,-19,19,4,0,2,11,0,6,2,2,18,2,2,NA,NA,NA
1,32,13,4,0,2,11,0,7,2,2,12,4,1,NA,NA,NA
1,-41,27,4,0,2,11,0,8,2,2,26,2,3,NA,NA,NA
1,39,13,4,0,2,11,0,9,2,2,12,4,1,NA,NA,NA
1,-36,28,4,0,2,11,0,10,2,2,27,3,3,NA,NA,NA
1,-53,22,4,0,2,11,0,11,2,2,21,5,2,NA,NA,NA
1,-21,37,4,0,2,11,0,12,2,2,36,4,4,NA,NA,NA
1,8,31,4,0,2,11,0,13,2,2,30,6,3,NA,NA,NA
1,3,45,4,0,2,11,0,14,2,2,44,4,5,NA,NA,NA
1,-52,39,4,0,2,11,0,15,2,2,38,6,4,NA,NA,NA
1,30,53,4,0,2,11,0,16,2,2,52,4,6,NA,NA,NA
1,-51,39,4,0,2,11,0,17,2,2,38,6,4,NA,NA,NA
1,-1,44,4,0,2,11,0,18,2,2,43,3,5,NA,NA,NA
1,63,30,4,0,2,11,0,19,2,2,29,5,3,NA,NA,NA
1,-17,35,4,0,2,11,0,20,2,2,34,2,4,NA,NA,NA
1,23,21,4,0,2,11,0,21,2,2,20,4,2,NA,NA,NA
