"player","points","cells","social_info","unique_rounds","env_number","gempresent","round","tot_points","gem","trial","cell","x","y","round_gem_found","gem_found","social_info_use","performance_group","performance_group_f"
1,9,12,8,1,5,0,1,730,0,1,11,3,1,NA,0,"ignore",3,"high"
1,-48,19,57,1,5,0,1,730,0,2,18,2,2,NA,0,"ignore",3,"high"
1,33,38,64,1,5,0,1,730,0,3,37,5,4,NA,0,"ignore",3,"high"
1,11,38,1,1,5,0,1,730,0,4,37,5,4,NA,0,"ignore",3,"high"
1,44,38,37,1,5,0,1,730,0,5,37,5,4,NA,0,"copy",3,"high"
1,43,38,36,1,5,0,1,730,0,6,37,5,4,NA,0,"ignore",3,"high"
1,44,38,28,1,5,0,1,730,0,7,37,5,4,NA,0,"ignore",3,"high"
1,17,38,29,1,5,0,1,730,0,8,37,5,4,NA,0,"ignore",3,"high"
1,43,38,43,1,5,0,1,730,0,9,37,5,4,NA,0,"ignore",3,"high"
1,12,38,44,1,5,0,1,730,0,10,37,5,4,NA,0,"ignore",3,"high"
1,20,38,35,1,5,0,1,730,0,11,37,5,4,NA,0,"ignore",3,"high"
1,34,38,52,1,5,0,1,730,0,12,37,5,4,NA,0,"ignore",3,"high"
1,40,38,45,1,5,0,1,730,0,13,37,5,4,NA,0,"ignore",3,"high"
1,36,38,45,1,5,0,1,730,0,14,37,5,4,NA,0,"ignore",3,"high"
1,4,38,45,1,5,0,1,730,0,15,37,5,4,NA,0,"ignore",3,"high"
1,-4,38,48,1,5,0,1,730,0,16,37,5,4,NA,0,"ignore",3,"high"
1,-6,28,31,1,5,0,1,730,0,17,27,3,3,NA,0,"ignore",3,"high"
1,52,29,31,1,5,0,1,730,0,18,28,4,3,NA,0,"ignore",3,"high"
1,49,29,36,1,5,0,1,730,0,19,28,4,3,NA,0,"ignore",3,"high"
1,50,29,36,1,5,0,1,730,0,20,28,4,3,NA,0,"ignore",3,"high"
1,49,29,36,1,5,0,1,730,0,21,28,4,3,NA,0,"ignore",3,"high"
1,51,29,36,1,5,0,1,730,0,22,28,4,3,NA,0,"ignore",3,"high"
1,49,29,36,1,5,0,1,730,0,23,28,4,3,NA,0,"ignore",3,"high"
1,48,29,36,1,5,0,1,730,0,24,28,4,3,NA,0,"ignore",3,"high"
1,50,29,36,1,5,0,1,730,0,25,28,4,3,NA,0,"ignore",3,"high"
1,-22,27,28,2,3,1,2,2079,0,1,26,2,3,19,1,"ignore",2,"medium"
1,-38,37,64,2,3,1,2,2079,0,2,36,4,4,19,1,"ignore",2,"medium"
1,-4,62,40,2,3,1,2,2079,0,3,61,5,7,19,1,"ignore",2,"medium"
