Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
647a732beca5aefeea032e4a,63cbe791de660535b4761f79,APPROVED,2023-06-02T22:55:35Z,2023-06-02T23:20:04Z,2023-06-04T13:08:24Z,2023-06-02T23:20:04Z,1470,C6VEY6VR,181,66,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
647a7488b0a92bce721fcee6,60c08a14a8918abbf1632d78,APPROVED,2023-06-02T23:00:31Z,2023-06-02T23:20:57Z,2023-06-04T13:10:21Z,2023-06-02T23:20:58Z,1227,C6VEY6VR,163,20,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
647a77918f59d70c067e18d0,602f329284781fbf09e0cafc,APPROVED,2023-06-02T23:13:27Z,2023-06-02T23:26:58Z,2023-06-04T13:10:21Z,2023-06-02T23:26:59Z,812,C6VEY6VR,1023,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
647a786b1db4c866da8038b7,64135d9db0d03edba0b91c08,APPROVED,2023-06-02T23:17:03Z,2023-06-02T23:30:08Z,2023-06-04T13:10:21Z,2023-06-02T23:30:09Z,786,C6VEY6VR,254,24,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
647a78cbc7216dfa3b43da22,5eea49c09e6f8711b4cdf3bb,APPROVED,2023-06-02T23:18:38Z,2023-06-02T23:33:46Z,2023-06-04T13:10:22Z,2023-06-02T23:33:46Z,909,C6VEY6VR,524,26,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
647a7a23c3286ef18a68eac1,6123ffd66668fe39928e28b0,APPROVED,2023-06-02T23:24:30Z,2023-06-02T23:39:29Z,2023-06-04T13:10:22Z,2023-06-02T23:39:30Z,900,C6VEY6VR,893,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
647a7a96be62e3a914ec999e,57d02ffb596f5d0001df741f,APPROVED,2023-06-02T23:26:28Z,2023-06-02T23:40:11Z,2023-06-04T13:10:22Z,2023-06-02T23:40:11Z,824,C6VEY6VR,1311,34,Male,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
647a7bb0e4326dcee40b0bb9,63bd0ea81eb79e05e10d78d0,APPROVED,2023-06-02T23:31:03Z,2023-06-02T23:44:01Z,2023-06-04T13:10:22Z,2023-06-02T23:44:01Z,778,C6VEY6VR,173,31,Male,Asian,Philippines,United States,Philippines,English,No,Full-Time
647a75e70b9719b44e8a7ed1,646ea738b09c968e6f3a4cec,APPROVED,2023-06-02T23:06:22Z,2023-06-02T23:21:29Z,2023-06-04T13:10:26Z,2023-06-02T23:21:30Z,908,C6VEY6VR,25,65,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
647a767276929e28cf80389a,60883e078fa7828e99acb69a,APPROVED,2023-06-02T23:08:40Z,2023-06-02T23:23:52Z,2023-06-04T13:10:26Z,2023-06-02T23:23:52Z,912,C6VEY6VR,1391,41,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
